t_ms,packet_id,speed_kmh,steer,gas,brake,gear,rpms,heading,pitch,roll,accg_x,accg_y,accg_z
77615.098,518,0.016992202028632164,0.0,0.0,1.0,1,5,-0.23860199749469757,0.07502341270446777,-0.0540471151471138,0.00041935627814382315,-6.0324051446514204e-05,-0.00017915063654072583
77625.615,521,0.017029304057359695,0.0,0.0,1.0,1,5,-0.2386016845703125,0.07502362877130508,-0.05404706299304962,-2.7299556677462533e-05,6.454157846746966e-05,-9.597934695193544e-05
77636.118,525,0.017044562846422195,0.0,0.0,1.0,1,5,-0.23860155045986176,0.07502371072769165,-0.054046690464019775,-0.00036528613418340683,-8.493558561895043e-05,8.687785157235339e-05
77646.686,529,0.017024196684360504,0.0,0.0,1.0,1,5,-0.23860180377960205,0.07502370327711105,-0.05404609069228172,0.00019959785277023911,0.00017324442160315812,4.679387348005548e-05
77657.158,532,0.017002062872052193,0.0,0.0,1.0,1,5,-0.23860208690166473,0.07502377033233643,-0.05404581502079964,0.00044374592835083604,8.300162880914286e-05,4.8831016101758e-06
77667.677,536,0.016960283741354942,0.0,0.0,1.0,1,5,-0.23860232532024384,0.07502389699220657,-0.05404531583189964,-0.00013613469491247088,-0.0002504139847587794,0.00011106644524261355
77678.252,539,0.016927728429436684,0.0,0.0,1.0,1,5,-0.23860248923301697,0.07502393424510956,-0.05404452234506607,-0.00010915358870988712,-5.8151297707809135e-05,0.00010524051322136074
77688.760,543,0.016894912347197533,0.0,0.0,1.0,1,5,-0.23860269784927368,0.07502363622188568,-0.054043158888816833,0.00042514983215369284,-0.00023339643666986376,1.085205531126121e-05
77699.328,546,0.016866225749254227,0.0,0.0,1.0,1,5,-0.23860283195972443,0.07502307742834091,-0.054042115807533264,0.0003322104166727513,-0.00030328374123200774,8.634912228444591e-05
77709.874,550,0.01679106242954731,0.0,0.0,1.0,1,5,-0.2386028915643692,0.07502220571041107,-0.0540408156812191,-0.00041743769543245435,2.280995795445051e-05,0.0002190571976825595
77720.389,553,0.016744131222367287,0.0,0.0,1.0,1,5,-0.23860274255275726,0.07502170652151108,-0.05403999239206314,-0.000823250855319202,0.00011059648386435583,0.00020270593813620508
77730.901,556,0.01671774499118328,0.0,0.0,1.0,1,5,-0.23860257863998413,0.0750214233994484,-0.05403957888484001,-0.0004746461636386812,0.0001420361513737589,0.00012526355567388237
77741.426,560,0.016708634793758392,0.0,0.0,1.0,1,5,-0.2386024445295334,0.07502133399248123,-0.05404006689786911,8.711915870662779e-05,0.0002721418277360499,-2.2853959308122285e-05
77751.917,564,0.01675284653902054,0.0,0.0,1.0,1,5,-0.2386023998260498,0.07502139359712601,-0.0540408194065094,0.00023863611568231136,6.857676635263488e-05,-0.000168435595696792
77762.474,567,0.01680774800479412,0.0,0.0,1.0,1,5,-0.23860232532024384,0.07502144575119019,-0.05404120311141014,0.00011630208609858528,-5.443258032755693e-06,-0.00019467194215394557
77772.986,571,0.016895845532417297,0.0,0.0,1.0,1,5,-0.2386021614074707,0.07502146810293198,-0.05404143035411835,-3.760078834602609e-05,-0.0003009301144629717,-0.00019997671188320965
77783.706,574,0.01695295423269272,0.0,0.0,1.0,1,5,-0.23860204219818115,0.0750214233994484,-0.05404144152998924,4.515222371992422e-06,-0.0004012428398709744,-0.00016225615399889648
77794.168,578,0.016991926357150078,0.0,0.0,1.0,1,5,-0.2386018931865692,0.07502127438783646,-0.05404147133231163,0.00012515889829955995,-4.063739106641151e-05,-5.600223084911704e-05
77804.787,581,0.016994021832942963,0.0,0.0,1.0,1,5,-0.2386016547679901,0.07502105832099915,-0.05404161289334297,-5.489247996592894e-05,7.929788989713416e-05,2.1869886040803976e-05
77815.263,585,0.0169503316283226,0.0,0.0,1.0,1,5,-0.23860123753547668,0.07502061873674393,-0.05404170975089073,-0.00022154496400617063,0.0002714172878768295,0.00013518276682589203
77825.802,588,0.01691124215722084,0.0,0.0,1.0,1,5,-0.23860114812850952,0.07502029091119766,-0.05404183268547058,6.26412802375853e-05,0.00024361633404623717,0.00010168219159822911
77836.618,592,0.016864154487848282,0.0,0.0,1.0,1,5,-0.23860123753547668,0.07501979917287827,-0.05404229089617729,5.731593773816712e-05,-8.489568426739424e-05,0.00010779388685477898
77846.947,595,0.016818063333630562,0.0,0.0,1.0,1,5,-0.23860126733779907,0.07501936703920364,-0.05404264107346535,-0.0001764884073054418,4.9533540732227266e-05,0.0002085856394842267
77857.546,598,0.016773290932178497,0.0,0.0,1.0,1,5,-0.23860128223896027,0.07501900941133499,-0.05404309928417206,-0.00019383263133931905,0.0002757614420261234,0.00015291545423679054
77868.070,602,0.01674734242260456,0.0,0.0,1.0,1,5,-0.23860129714012146,0.07501870393753052,-0.05404406785964966,-0.00010429868416395038,0.0005365053657442331,7.428447861457244e-05
